DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.00313824579186675,1,2,0.35,3,1.44444444444444,3.94444444444444
0.00297676599107784,1,2,0.375,3,1.44444444444444,3.94444444444444
0.00282886086053646,1,2,0.4,3,1.44444444444444,3.94444444444444
0.00269230037890326,1,2,0.425,3,1.44444444444444,3.94444444444444
0.0025654646239841,1,2,0.45,3,1.44444444444444,3.94444444444444
0.00244714673989056,1,2,0.475,3,1.44444444444444,3.94444444444444
0.00233642268943676,1,2,0.5,3,1.44444444444444,3.94444444444444
0.00223256428700567,1,2,0.525,3,1.44444444444444,3.94444444444444
0.00213498067981074,1,2,0.55,3,1.44444444444444,3.94444444444444
0.00204317873904559,1,2,0.575,3,1.44444444444444,3.94444444444444
0.00195673612769359,1,2,0.6,3,1.44444444444444,3.94444444444444
0.00187528291791499,1,2,0.625,3,1.44444444444444,3.94444444444444
0.00179848899695536,1,2,0.65,3,1.44444444444444,3.94444444444444
0.00172605539992033,1,2,0.675,3,1.44444444444444,3.94444444444444
0.0016577083073052,1,2,0.7,3,1.44444444444444,3.94444444444444
0.00159319484877607,1,2,0.725,3,1.44444444444444,3.94444444444444
0.00153228012844358,1,2,0.75,3,1.44444444444444,3.94444444444444
0.00147474507352396,1,2,0.775,3,1.44444444444444,3.94444444444444
0.00142038483597395,1,2,0.8,3,1.44444444444444,3.94444444444444
0.00136900756417221,1,2,0.825,3,1.44444444444444,3.94444444444444
0.00132043342164178,1,2,0.85,3,1.44444444444444,3.94444444444444
0.00127449377076975,1,2,0.875,3,1.44444444444444,3.94444444444444
0.00123103046737579,1,2,0.9,3,1.44444444444444,3.94444444444444
0.00118989523087027,1,2,0.925,3,1.44444444444444,3.94444444444444
0.00115094906743188,1,2,0.95,3,1.44444444444444,3.94444444444444
0.00111406173206874,1,2,0.975,3,1.44444444444444,3.94444444444444
0.00107911122095298,1,2,1,3,1.44444444444444,3.94444444444444
0.00104598328897059,1,2,1.025,3,1.44444444444444,3.94444444444444
0.00101457098965155,1,2,1.05,3,1.44444444444444,3.94444444444444
0.00098477423598463,1,2,1.075,3,1.44444444444444,3.94444444444444
0.000956499381382051,1,2,1.1,3,1.44444444444444,3.94444444444444
0.000929658820448783,1,2,1.125,3,1.44444444444444,3.94444444444444
0.000904170609370885,1,2,1.15,3,1.44444444444444,3.94444444444444
0.000879958105759582,1,2,1.175,3,1.44444444444444,3.94444444444444
0.000856949627734956,1,2,1.2,3,1.44444444444444,3.94444444444444
0.000835078131944641,1,2,1.225,3,1.44444444444444,3.94444444444444
0.000814280910113081,1,2,1.25,3,1.44444444444444,3.94444444444444
0.000794499303620846,1,2,1.275,3,1.44444444444444,3.94444444444444
0.000775678435528971,1,2,1.3,3,1.44444444444444,3.94444444444444
0.000757766959394149,1,2,1.325,3,1.44444444444444,3.94444444444444
0.000740716824168156,1,2,1.35,3,1.44444444444444,3.94444444444444
0.000724483054438344,1,2,1.375,3,1.44444444444444,3.94444444444444
0.000709023545244305,1,2,1.4,3,1.44444444444444,3.94444444444444
0.000694298870696824,1,2,1.425,3,1.44444444444444,3.94444444444444
0.000680272105627163,1,2,1.45,3,1.44444444444444,3.94444444444444
0.000666908659505539,1,2,1.475,3,1.44444444444444,3.94444444444444
0.000654176121885604,1,2,1.5,3,1.44444444444444,3.94444444444444
0.000642044118655103,1,2,1.525,3,1.44444444444444,3.94444444444444
0.000630484178400426,1,2,1.55,3,1.44444444444444,3.94444444444444
0.000619469608223059,1,2,1.575,3,1.44444444444444,3.94444444444444
0.000608975378378163,1,2,1.6,3,1.44444444444444,3.94444444444444
0.000598978015138753,1,2,1.625,3,1.44444444444444,3.94444444444444
0.000589455501322506,1,2,1.65,3,1.44444444444444,3.94444444444444
0.000580387183951686,1,2,1.675,3,1.44444444444444,3.94444444444444
0.000571753688549522,1,2,1.7,3,1.44444444444444,3.94444444444444
